Account Number,Credit Card Name,Interest Income ($),Interchange Revenue ($),Other Fees ($)
47291,One View Standard,245.76,62.17,25.00
63802,One View Premium,93.28,151.23,40.00
52147,One View Advantage,145.89,84.65,52.50
31905,One View Standard,336.8,67.44,22.50
70634,One View Premium,110.12,144.32,35.00
83417,One View Advantage,265.49,79.01,38.75
21953,One View Standard,456.8,61.88,24.00
92546,One View Premium,102.34,138.77,42.50
68210,One View Advantage,279.83,91.64,70.00
74159,One View Standard,219.4,69.12,26.25
50327,One View Premium,97.12,150.43,38.00
86741,One View Advantage,155.44,88.91,53.00
63058,One View Standard,200.08,65.09,25.75
71204,One View Premium,106.77,142.88,36.50
47893,One View Advantage,263.21,83.12,71.25
39582,One View Standard,445.8,63.25,24.00
51409,One View Premium,99.83,155.67,39.25
88461,One View Advantage,171.54,90.22,64.00
24617,One View Standard,237.84,60.44,23.75
75639,One View Premium,112.93,147.11,41.00
82560,One View Advantage,259.74,86.34,69.50
69327,One View Standard,191.42,68.03,26.00
43715,One View Premium,104.56,139.18,35.50
38290,One View Advantage,277.11,94.23,52.25
97503,One View Standard,276.37,66.58,24.75
60894,One View Premium,109.15,148.39,37.00
54162,One View Advantage,252.38,82.76,71.50
78450,One View Standard,288.2,64.91,25.00
41268,One View Premium,95.47,153.42,40.50
85512,One View Advantage,268.93,89.75,54.75
72940,One View Standard,179.82,61.99,22.25
31967,One View Premium,107.04,141.66,36.25
96548,One View Advantage,174.39,92.17,50.50
58231,One View Standard,393.63,70.1,27.25
76412,One View Premium,100.98,149.54,38.75
89436,One View Advantage,258.8,85.9,73.25
45023,One View Standard,186.7,67.88,26.50
51342,One View Premium,98.77,152.01,39.75
83159,One View Advantage,261.12,87.44,42.75
64295,One View Standard,371.95,62.73,24.25
72861,One View Premium,108.45,146.2,37.25
95714,One View Advantage,266.54,90.89,61.00
38426,One View Standard,189.78,65.84,25.25
51190,One View Premium,103.12,140.97,35.75
86954,One View Advantage,173.05,93.58,74.25
73508,One View Standard,281.66,68.5,26.00
60219,One View Premium,99.94,145.32,36.75
81047,One View Advantage,264.82,88.19,53.00
39624,One View Standard,273.44,63.58,25.00
64891,One View Premium,111.28,147.75,38.25
